# lowEnergyEdge exposure
1.000000000000000000e+02 0.000000000000000000e+00
1.584893192461114211e+02 0.000000000000000000e+00
2.511886431509579722e+02 0.000000000000000000e+00
3.981071705534973262e+02 0.000000000000000000e+00
6.309573444801930009e+02 0.000000000000000000e+00
1.000000000000000000e+03 0.000000000000000000e+00
1.584893192461114040e+03 0.000000000000000000e+00
2.511886431509582053e+03 0.000000000000000000e+00
3.981071705534973262e+03 0.000000000000000000e+00
6.309573444801930236e+03 0.000000000000000000e+00
1.000000000000000000e+04 3.781313492355788476e+05
1.584893192461114086e+04 0.000000000000000000e+00
2.511886431509582326e+04 7.329211458659042837e+05
3.981071705534969078e+04 3.679544960660833865e+06
6.309573444801942969e+04 5.644497705502676219e+07
1.000000000000000000e+05 3.221166385327264071e+08
1.584893192461114086e+05 1.682580729415865660e+09
2.511886431509582035e+05 6.300474303968751907e+09
3.981071705534969224e+05 1.282602043094434357e+10
6.309573444801942678e+05 2.102441534046426010e+10
1.000000000000000000e+06 2.791915124229550934e+10
1.584893192461114144e+06 4.051994580426358795e+10
2.511886431509582326e+06 4.428359886082475281e+10
3.981071705534977373e+06 5.314328268646411133e+10
6.309573444801942445e+06 5.502694751116124725e+10
1.000000000000000000e+07 4.901448517285372925e+10
1.584893192461114191e+07 5.856381372218566895e+10
2.511886431509582326e+07 3.049237719250092316e+10
3.981071705534977466e+07 3.243468993559261322e+10
6.309573444801943004e+07 2.738298605016552353e+10
1.000000000000000000e+08 2.738298605016552353e+10
