# lowEnergyEdge exposure
1.000000000000000000e+02 1.113639847059572348e+05
1.584893192461114211e+02 1.025723089553640457e+06
2.511886431509579722e+02 4.554720222832915373e+06
3.981071705534973262e+02 1.456489227138415352e+07
6.309573444801930009e+02 4.032280388138543814e+07
1.000000000000000000e+03 1.010926125162430108e+08
1.584893192461114040e+03 2.373377118039912581e+08
2.511886431509582053e+03 5.270516565242300034e+08
3.981071705534973262e+03 1.071783770867238760e+09
6.309573444801930236e+03 2.102896322664547682e+09
1.000000000000000000e+04 3.957002316749526978e+09
1.584893192461114086e+04 6.699729955280314445e+09
2.511886431509582326e+04 1.110789622408697891e+10
3.981071705534969078e+04 1.722566635945459747e+10
6.309573444801942969e+04 2.690525875666695786e+10
1.000000000000000000e+05 3.818598689889497375e+10
1.584893192461114086e+05 5.435073394925794220e+10
2.511886431509582035e+05 7.679376440498840332e+10
3.981071705534969224e+05 1.006658122103102264e+11
6.309573444801942678e+05 1.304572647468551331e+11
1.000000000000000000e+06 1.756295348348181152e+11
1.584893192461114144e+06 2.114334234981232910e+11
2.511886431509582326e+06 2.592273274188836365e+11
3.981071705534977373e+06 3.068797349559554443e+11
6.309573444801942445e+06 3.723645663655532837e+11
1.000000000000000000e+07 5.017067526630325317e+11
1.584893192461114191e+07 4.927027614608151855e+11
2.511886431509582326e+07 4.887038076959193115e+11
3.981071705534977466e+07 4.735024055230280151e+11
6.309573444801943004e+07 5.769978753670642090e+11
1.000000000000000000e+08 5.769978753670642090e+11
