# lowEnergyEdge exposure
1.000000000000000000e+02 1.428911775499039795e+05
1.584893192461114211e+02 1.196128452621837379e+06
2.511886431509579722e+02 5.111112190057846718e+06
3.981071705534973262e+02 1.588873275077664107e+07
6.309573444801930009e+02 4.337288737871634960e+07
1.000000000000000000e+03 1.081457401270203590e+08
1.584893192461114040e+03 2.522930017712824345e+08
2.511886431509582053e+03 5.414792777520837784e+08
3.981071705534973262e+03 1.115691113025464296e+09
6.309573444801930236e+03 2.133116774687172174e+09
1.000000000000000000e+04 3.890117163108803749e+09
1.584893192461114086e+04 6.628781547011308670e+09
2.511886431509582326e+04 1.103879815132391930e+10
3.981071705534969078e+04 1.685706110062496185e+10
6.309573444801942969e+04 2.405862073638358688e+10
1.000000000000000000e+05 3.577984691596170807e+10
1.584893192461114086e+05 4.951588427478997803e+10
2.511886431509582035e+05 6.711684447983844757e+10
3.981071705534969224e+05 8.753851418595292664e+10
6.309573444801942678e+05 1.120724673778309631e+11
1.000000000000000000e+06 1.398827555517167969e+11
1.584893192461114144e+06 1.616812779154621277e+11
2.511886431509582326e+06 1.876043715693912048e+11
3.981071705534977373e+06 2.033253246106543579e+11
6.309573444801942445e+06 2.224616141225665588e+11
1.000000000000000000e+07 1.830950135236918640e+11
1.584893192461114191e+07 2.322942018232029419e+11
2.511886431509582326e+07 2.406250140274217224e+11
3.981071705534977466e+07 1.487138031835408325e+11
6.309573444801943004e+07 1.015997159333052368e+11
1.000000000000000000e+08 1.015997159333052368e+11
