# lowEnergyEdge exposure
1.000000000000000000e+02 1.960041621661790705e+05
1.584893192461114211e+02 1.457983613621042809e+06
2.511886431509579722e+02 5.944151154722769745e+06
3.981071705534973262e+02 1.844008014067596942e+07
6.309573444801930009e+02 4.885698286554211378e+07
1.000000000000000000e+03 1.200366180229479671e+08
1.584893192461114040e+03 2.726500218142815828e+08
2.511886431509582053e+03 5.681833527923620939e+08
3.981071705534973262e+03 1.150758678102543831e+09
6.309573444801930236e+03 2.107171461330231905e+09
1.000000000000000000e+04 3.748580422196890831e+09
1.584893192461114086e+04 6.280673399618334770e+09
2.511886431509582326e+04 9.798274252777017593e+09
3.981071705534969078e+04 1.482395616398385239e+10
6.309573444801942969e+04 2.169216948042328644e+10
1.000000000000000000e+05 2.939735449285507202e+10
1.584893192461114086e+05 3.818565393252692413e+10
2.511886431509582035e+05 4.786219096145565033e+10
3.981071705534969224e+05 5.572931123095584106e+10
6.309573444801942678e+05 6.452280143433432007e+10
1.000000000000000000e+06 7.013473080924458313e+10
1.584893192461114144e+06 7.379265277868324280e+10
2.511886431509582326e+06 6.512197576033470154e+10
3.981071705534977373e+06 6.203360000942329407e+10
6.309573444801942445e+06 5.427782147190621948e+10
1.000000000000000000e+07 2.720390134606576538e+10
1.584893192461114191e+07 2.438268708251754761e+10
2.511886431509582326e+07 9.579592447976181030e+09
3.981071705534977466e+07 1.353079862536895943e+10
6.309573444801943004e+07 6.289023777621309280e+09
1.000000000000000000e+08 6.289023777621309280e+09
