# lowEnergyEdge exposure
1.000000000000000000e+02 0.000000000000000000e+00
1.584893192461114211e+02 0.000000000000000000e+00
2.511886431509579722e+02 0.000000000000000000e+00
3.981071705534973262e+02 0.000000000000000000e+00
6.309573444801930009e+02 0.000000000000000000e+00
1.000000000000000000e+03 0.000000000000000000e+00
1.584893192461114040e+03 0.000000000000000000e+00
2.511886431509582053e+03 0.000000000000000000e+00
3.981071705534973262e+03 0.000000000000000000e+00
6.309573444801930236e+03 0.000000000000000000e+00
1.000000000000000000e+04 0.000000000000000000e+00
1.584893192461114086e+04 0.000000000000000000e+00
2.511886431509582326e+04 6.762316493383212946e+05
3.981071705534969078e+04 1.832882515698612481e+07
6.309573444801942969e+04 2.316682584839161113e+07
1.000000000000000000e+05 2.095257755826392174e+08
1.584893192461114086e+05 7.848671645130665302e+08
2.511886431509582035e+05 2.660733393876299858e+09
3.981071705534969224e+05 4.057497806618210316e+09
6.309573444801942678e+05 5.136581439134520531e+09
1.000000000000000000e+06 5.037665675044979095e+09
1.584893192461114144e+06 6.170242678805750847e+09
2.511886431509582326e+06 3.713614451414021492e+09
3.981071705534977373e+06 2.868103705008399963e+09
6.309573444801942445e+06 2.521896181576816082e+09
1.000000000000000000e+07 3.496674816690927029e+09
1.584893192461114191e+07 1.821221385793055296e+08
2.511886431509582326e+07 1.585827060719130039e+08
3.981071705534977466e+07 1.659452930326597691e+08
6.309573444801943004e+07 1.267729103924551010e+08
1.000000000000000000e+08 1.267729103924551010e+08
