# lowEnergyEdge exposure
1.000000000000000000e+02 8.570041276146049495e+04
1.584893192461114211e+02 8.675814962009727024e+05
2.511886431509579722e+02 4.171483990995317698e+06
3.981071705534973262e+02 1.352442656976027042e+07
6.309573444801930009e+02 3.780204547341655195e+07
1.000000000000000000e+03 9.651978551598419249e+07
1.584893192461114040e+03 2.248919331582958102e+08
2.511886431509582053e+03 4.974131432050865889e+08
3.981071705534973262e+03 1.035813209458091974e+09
6.309573444801930236e+03 2.070937657038699865e+09
1.000000000000000000e+04 3.904795474356508255e+09
1.584893192461114086e+04 6.738039082682333946e+09
2.511886431509582326e+04 1.115775046265400696e+10
3.981071705534969078e+04 1.825470259491329956e+10
6.309573444801942969e+04 2.809643890339900970e+10
1.000000000000000000e+05 4.073429998943892670e+10
1.584893192461114086e+05 5.828911598814037323e+10
2.511886431509582035e+05 8.159961829360054016e+10
3.981071705534969224e+05 1.121995956015678253e+11
6.309573444801942678e+05 1.460949878332114563e+11
1.000000000000000000e+06 1.952493037636833496e+11
1.584893192461114144e+06 2.477950381521683350e+11
2.511886431509582326e+06 3.090943052104116821e+11
3.981071705534977373e+06 3.963968614617268677e+11
6.309573444801942445e+06 4.675583555434696655e+11
1.000000000000000000e+07 5.459315004231331787e+11
1.584893192461114191e+07 7.748111234683551025e+11
2.511886431509582326e+07 8.483616644494645996e+11
3.981071705534977466e+07 9.624418861921104736e+11
6.309573444801943004e+07 1.068393850042757446e+12
1.000000000000000000e+08 1.068393850042757446e+12
