# lowEnergyEdge exposure
1.000000000000000000e+02 0.000000000000000000e+00
1.584893192461114211e+02 0.000000000000000000e+00
2.511886431509579722e+02 0.000000000000000000e+00
3.981071705534973262e+02 0.000000000000000000e+00
6.309573444801930009e+02 0.000000000000000000e+00
1.000000000000000000e+03 0.000000000000000000e+00
1.584893192461114040e+03 0.000000000000000000e+00
2.511886431509582053e+03 0.000000000000000000e+00
3.981071705534973262e+03 0.000000000000000000e+00
6.309573444801930236e+03 0.000000000000000000e+00
1.000000000000000000e+04 0.000000000000000000e+00
1.584893192461114086e+04 0.000000000000000000e+00
2.511886431509582326e+04 3.246633374191184994e+06
3.981071705534969078e+04 6.448574891121248715e+06
6.309573444801942969e+04 3.126830392856631801e+07
1.000000000000000000e+05 1.527379764611995518e+08
1.584893192461114086e+05 1.233951351083687782e+09
2.511886431509582035e+05 3.471791251153246880e+09
3.981071705534969224e+05 7.247759746474735260e+09
6.309573444801942678e+05 9.752030261526809692e+09
1.000000000000000000e+06 1.203893624367939186e+10
1.584893192461114144e+06 1.560831946872592545e+10
2.511886431509582326e+06 1.290407132708905220e+10
3.981071705534977373e+06 1.224767847719515228e+10
6.309573444801942445e+06 8.810953773131629944e+09
1.000000000000000000e+07 6.542155715506372452e+09
1.584893192461114191e+07 2.498867837353761673e+09
2.511886431509582326e+07 1.180547133681691170e+09
3.981071705534977466e+07 1.145658717306865454e+09
6.309573444801943004e+07 2.506680565937944651e+08
1.000000000000000000e+08 2.506680565937944651e+08
