# lowEnergyEdge exposure
1.000000000000000000e+02 2.537805491831286636e+05
1.584893192461114211e+02 1.662494615834112046e+06
2.511886431509579722e+02 6.538891051194040105e+06
3.981071705534973262e+02 1.946259555516102538e+07
6.309573444801930009e+02 5.054266831833118200e+07
1.000000000000000000e+03 1.193299343574953079e+08
1.584893192461114040e+03 2.621319201775860786e+08
2.511886431509582053e+03 5.306335740723615885e+08
3.981071705534973262e+03 1.007541783997823358e+09
6.309573444801930236e+03 1.809371976407685280e+09
1.000000000000000000e+04 2.979002230934530258e+09
1.584893192461114086e+04 4.469992906775553703e+09
2.511886431509582326e+04 6.388605490459218979e+09
3.981071705534969078e+04 8.319040157068887711e+09
6.309573444801942969e+04 1.017400123640016556e+10
1.000000000000000000e+05 1.145102562789484215e+10
1.584893192461114086e+05 1.142102112640687561e+10
2.511886431509582035e+05 1.020795124826820183e+10
3.981071705534969224e+05 8.365794046416328430e+09
6.309573444801942678e+05 7.194963454897310257e+09
1.000000000000000000e+06 4.778667506176258087e+09
1.584893192461114144e+06 2.897705479165232658e+09
2.511886431509582326e+06 1.562582571937124491e+09
3.981071705534977373e+06 8.633922130463945866e+08
6.309573444801942445e+06 5.259626222272262573e+08
1.000000000000000000e+07 3.286394385997824073e+08
1.584893192461114191e+07 1.358190738408652544e+08
2.511886431509582326e+07 7.304178505917224288e+07
3.981071705534977466e+07 1.996451574313826263e+08
6.309573444801943004e+07 2.846464400803795457e+07
1.000000000000000000e+08 2.846464400803795457e+07
