# lowEnergyEdge exposure
1.000000000000000000e+02 0.000000000000000000e+00
1.584893192461114211e+02 0.000000000000000000e+00
2.511886431509579722e+02 0.000000000000000000e+00
3.981071705534973262e+02 0.000000000000000000e+00
6.309573444801930009e+02 0.000000000000000000e+00
1.000000000000000000e+03 0.000000000000000000e+00
1.584893192461114040e+03 0.000000000000000000e+00
2.511886431509582053e+03 0.000000000000000000e+00
3.981071705534973262e+03 0.000000000000000000e+00
6.309573444801930236e+03 0.000000000000000000e+00
1.000000000000000000e+04 0.000000000000000000e+00
1.584893192461114086e+04 0.000000000000000000e+00
2.511886431509582326e+04 0.000000000000000000e+00
3.981071705534969078e+04 1.068437197341104224e+07
6.309573444801942969e+04 7.083430599381774664e+07
1.000000000000000000e+05 2.988797982317896485e+08
1.584893192461114086e+05 1.432916381541289091e+09
2.511886431509582035e+05 4.506468440471776962e+09
3.981071705534969224e+05 7.930639453923700333e+09
6.309573444801942678e+05 1.337854439684820557e+10
1.000000000000000000e+06 1.534654561098134995e+10
1.584893192461114144e+06 2.055408896725720978e+10
2.511886431509582326e+06 1.920493416376003647e+10
3.981071705534977373e+06 1.634926327489775848e+10
6.309573444801942445e+06 1.436265150392398071e+10
1.000000000000000000e+07 9.992447145174856186e+09
1.584893192461114191e+07 6.877002540895957947e+09
2.511886431509582326e+07 2.750529251523119450e+09
3.981071705534977466e+07 2.803940998098893166e+09
6.309573444801943004e+07 1.361231030897960424e+09
1.000000000000000000e+08 1.361231030897960424e+09
