# lowEnergyEdge exposure
1.000000000000000000e+02 2.036177982619173126e+05
1.584893192461114211e+02 1.492761023126254324e+06
2.511886431509579722e+02 6.147286985238315538e+06
3.981071705534973262e+02 1.872559892506545782e+07
6.309573444801930009e+02 4.937215061532332003e+07
1.000000000000000000e+03 1.186012153102267832e+08
1.584893192461114040e+03 2.687235150038000345e+08
2.511886431509582053e+03 5.626860540659272671e+08
3.981071705534973262e+03 1.111632725043153048e+09
6.309573444801930236e+03 2.025154690824729443e+09
1.000000000000000000e+04 3.566203842754173279e+09
1.584893192461114086e+04 5.836335948477256775e+09
2.511886431509582326e+04 9.302942913210319519e+09
3.981071705534969078e+04 1.363699562005366707e+10
6.309573444801942969e+04 1.880940923529747009e+10
1.000000000000000000e+05 2.461039252294894791e+10
1.584893192461114086e+05 3.149807949204156113e+10
2.511886431509582035e+05 3.601755294895180511e+10
3.981071705534969224e+05 4.034827463808351135e+10
6.309573444801942678e+05 4.036931908396674347e+10
1.000000000000000000e+06 4.183207650658534241e+10
1.584893192461114144e+06 3.835875579932023621e+10
2.511886431509582326e+06 3.306552045817325211e+10
3.981071705534977373e+06 2.482272928029216003e+10
6.309573444801942445e+06 1.807445167461048508e+10
1.000000000000000000e+07 1.247063610340231705e+10
1.584893192461114191e+07 5.561147784721812248e+09
2.511886431509582326e+07 5.803574551774885178e+09
3.981071705534977466e+07 1.029898994729618788e+09
6.309573444801943004e+07 1.191435497904150486e+09
1.000000000000000000e+08 1.191435497904150486e+09
