# lowEnergyEdge exposure
1.000000000000000000e+02 0.000000000000000000e+00
1.584893192461114211e+02 0.000000000000000000e+00
2.511886431509579722e+02 0.000000000000000000e+00
3.981071705534973262e+02 0.000000000000000000e+00
6.309573444801930009e+02 0.000000000000000000e+00
1.000000000000000000e+03 0.000000000000000000e+00
1.584893192461114040e+03 0.000000000000000000e+00
2.511886431509582053e+03 0.000000000000000000e+00
3.981071705534973262e+03 0.000000000000000000e+00
6.309573444801930236e+03 0.000000000000000000e+00
1.000000000000000000e+04 0.000000000000000000e+00
1.584893192461114086e+04 0.000000000000000000e+00
2.511886431509582326e+04 4.471320908815228380e+06
3.981071705534969078e+04 5.073929688684365712e+06
6.309573444801942969e+04 7.315789170414189994e+07
1.000000000000000000e+05 3.902943382416892648e+08
1.584893192461114086e+05 1.539019551537195921e+09
2.511886431509582035e+05 4.211117396682695389e+09
3.981071705534969224e+05 9.009798060399694443e+09
6.309573444801942678e+05 1.346303022509172440e+10
1.000000000000000000e+06 1.798508563681343079e+10
1.584893192461114144e+06 2.370095509145785141e+10
2.511886431509582326e+06 2.075579039684050751e+10
3.981071705534977373e+06 2.312881077322613144e+10
6.309573444801942445e+06 2.056175936286302185e+10
1.000000000000000000e+07 1.074652085934243011e+10
1.584893192461114191e+07 8.358404909817458153e+09
2.511886431509582326e+07 3.914558625779119968e+09
3.981071705534977466e+07 5.546272653884395599e+09
6.309573444801943004e+07 2.846439705553827286e+09
1.000000000000000000e+08 2.846439705553827286e+09
