# lowEnergyEdge exposure
1.000000000000000000e+02 0.000000000000000000e+00
1.584893192461114211e+02 0.000000000000000000e+00
2.511886431509579722e+02 0.000000000000000000e+00
3.981071705534973262e+02 0.000000000000000000e+00
6.309573444801930009e+02 0.000000000000000000e+00
1.000000000000000000e+03 0.000000000000000000e+00
1.584893192461114040e+03 0.000000000000000000e+00
2.511886431509582053e+03 2.967932764825429331e+04
3.981071705534973262e+03 0.000000000000000000e+00
6.309573444801930236e+03 0.000000000000000000e+00
1.000000000000000000e+04 0.000000000000000000e+00
1.584893192461114086e+04 2.498301362662139814e+06
2.511886431509582326e+04 3.867018629028812516e+06
3.981071705534969078e+04 6.042779660840516910e+06
6.309573444801942969e+04 1.200168818890724704e+07
1.000000000000000000e+05 1.401694170240666270e+08
1.584893192461114086e+05 2.786555300358967781e+08
2.511886431509582035e+05 7.592080572086467743e+08
3.981071705534969224e+05 8.914992507645857334e+08
6.309573444801942678e+05 1.180470455659829140e+09
1.000000000000000000e+06 9.539539306694180965e+08
1.584893192461114144e+06 5.882121377751528025e+08
2.511886431509582326e+06 3.875344779004137516e+08
3.981071705534977373e+06 3.060551077628376484e+08
6.309573444801942445e+06 6.592093680296070874e+07
1.000000000000000000e+07 1.173606870332583040e+08
1.584893192461114191e+07 1.056399069486622512e+07
2.511886431509582326e+07 1.073977813541188091e+07
3.981071705534977466e+07 2.324813838683716953e+06
6.309573444801943004e+07 1.942874566317099147e+06
1.000000000000000000e+08 1.942874566317099147e+06
