# FIRESONG Output description
# Standard candle sources
# Desired neutrino diffuse flux:
#      E^2 dN_diffuse/dE = 9e-09 (E/100 TeV)^(-0.13) [GeV/cm^2.s.sr]
# Neutrino point source fluxes listed below are of 'A' where the flux is:
#      E^2 dN_PS/dE = A * (E/100 TeV)^(-0.13) [GeV/cm^2.s]
# Standard Candle Luminosity: 0.0000e+00 erg/yr 
# Note that using 4 years, IceCube sensitivity in the northern hemisphere
# is approximately 10^-9 in the units used for A
# Dec(deg) Redshift A
-11.4339 5.4235 2.7928e-13
64.3892 1.4975 6.9749e-12
25.5685 1.9305 3.6621e-12
-9.9659 2.6055 1.7192e-12
-27.2122 1.5205 6.7100e-12
21.4580 4.1295 5.4577e-13
78.3394 3.5615 7.8746e-13
10.1487 2.6875 1.5905e-12
37.8915 3.4065 8.7958e-13
57.8396 4.8605 3.6532e-13
-17.2343 2.7345 1.5229e-12
-12.9650 4.2895 4.9688e-13
12.9831 2.6495 1.6484e-12
7.1851 1.2935 1.0119e-11
14.8272 1.2875 1.0240e-11
23.0698 3.7055 7.1367e-13
62.3333 5.8465 2.3249e-13
55.9488 3.3615 9.0918e-13
-6.6554 3.7595 6.8851e-13
-24.5882 2.4805 1.9453e-12
-44.5202 4.0355 5.7773e-13
-18.0270 3.2285 1.0054e-12
17.1268 4.6215 4.1351e-13
-69.3991 2.7915 1.4461e-12
7.7601 3.8925 6.3169e-13
-75.6691 4.7545 3.8565e-13
13.2351 1.6775 5.2284e-12
10.4601 2.2095 2.6035e-12
-36.6452 2.5715 1.7769e-12
12.7867 1.6255 5.6634e-12
37.8296 3.6245 7.5390e-13
15.9776 1.2025 1.2180e-11
21.7957 4.2935 4.9574e-13
21.4512 3.1535 1.0661e-12
-27.7223 3.1385 1.0788e-12
79.9047 2.3195 2.3033e-12
-21.9130 4.0405 5.7597e-13
-59.4943 6.0175 2.1672e-13
-56.1505 3.3985 8.8474e-13
9.9229 4.0405 5.7597e-13
-15.4662 5.4955 2.7042e-13
21.0145 4.8865 3.6056e-13
8.5635 1.8985 3.8204e-12
26.8416 1.4145 8.0623e-12
-18.1488 2.3975 2.1192e-12
40.8407 0.5385 9.1228e-11
12.1146 4.1815 5.2916e-13
-4.7146 1.9275 3.6766e-12
-69.1297 3.7725 6.8265e-13
22.4868 0.6635 5.4480e-11
-31.7741 1.7875 4.4505e-12
-9.3645 2.4745 1.9572e-12
-41.3933 5.0715 3.2915e-13
-37.6182 2.6325 1.6753e-12
-74.0536 4.4805 4.4628e-13
-9.9548 5.3455 2.8935e-13
-54.8529 3.9125 6.2372e-13
-67.1721 3.7415 6.9676e-13
35.7169 5.1325 3.1964e-13
17.8544 1.2765 1.0465e-11
30.1333 3.0695 1.1404e-12
-44.2650 1.6645 5.3326e-12
-10.4764 3.0415 1.1668e-12
-39.0364 2.3075 2.3336e-12
-45.0194 5.0345 3.3511e-13
8.2018 4.2165 5.1838e-13
41.0430 6.7045 1.6665e-13
-54.0268 3.5145 8.1389e-13
-44.3677 4.1025 5.5469e-13
-6.7725 1.4085 8.1499e-12
49.4075 5.2475 3.0276e-13
-23.0865 1.4315 7.8212e-12
55.9067 1.3255 9.5100e-12
-35.9805 3.8405 6.5308e-13
-40.2805 4.7805 3.8051e-13
-43.0300 4.1105 5.5203e-13
35.1955 1.8975 3.8255e-12
-3.4934 2.8645 1.3556e-12
-37.6402 0.8525 2.9089e-11
-2.4451 4.1355 5.4382e-13
-10.0504 2.3895 2.1371e-12
-20.0858 2.5215 1.8667e-12
25.5126 3.5075 8.1793e-13
32.9086 1.7605 4.6256e-12
