# FIRESONG Output description
# Lognormal distributed sources
# Desired neutrino diffuse flux:
#      E^2 dN_diffuse/dE = 9e-09 (E/100 TeV)^(-0.13) [GeV/cm^2.s.sr]
# Neutrino point source fluxes listed below are of 'A' where the flux is:
#      E^2 dN_PS/dE = A * (E/100 TeV)^(-0.13) [GeV/cm^2.s]
# Standard Candle Luminosity: 0.0000e+00 erg/yr 
# Note that using 4 years, IceCube sensitivity in the northern hemisphere
# is approximately 10^-9 in the units used for A
# Dec(deg) Redshift A
37.2885 3.0395 1.1406e-12
-3.2908 3.0915 1.1907e-12
-13.6463 3.1245 1.1051e-12
-44.2154 3.4555 8.4641e-13
23.0969 1.7625 4.6820e-12
-82.1137 2.7075 1.5338e-12
32.5302 2.3705 2.2401e-12
-56.9030 0.9955 1.9632e-11
16.6440 3.3285 9.4929e-13
28.3025 3.1205 1.1387e-12
-71.3268 1.7285 5.0816e-12
37.1763 3.3395 9.2367e-13
-27.6278 7.0675 1.4611e-13
48.2205 0.7005 4.9643e-11
36.1316 5.1365 3.2264e-13
42.6731 5.0335 3.4447e-13
41.2178 1.2235 1.1492e-11
30.4835 7.3825 1.3115e-13
-21.9640 3.2875 9.5936e-13
-17.1537 2.4215 2.0566e-12
-48.5990 3.9555 6.0335e-13
20.3629 1.3585 9.1340e-12
8.4435 4.6225 3.9397e-13
-12.4345 3.0805 1.1141e-12
37.7262 3.8365 6.4605e-13
-29.9181 3.1825 1.0895e-12
-47.7782 3.2455 1.0364e-12
-5.7861 3.7855 6.9113e-13
6.4929 1.6225 5.7628e-12
-77.7137 4.4055 4.6226e-13
43.3765 2.1925 2.6279e-12
-2.1378 4.7905 3.7641e-13
9.3509 2.4145 2.0946e-12
14.4460 4.4765 4.4750e-13
-49.0973 5.2325 3.2225e-13
-69.7979 5.7715 2.4369e-13
56.6417 2.2565 2.5136e-12
-35.0723 2.9825 1.2057e-12
25.3265 3.2405 1.0211e-12
28.9192 2.3585 2.2155e-12
26.7182 3.0595 1.1352e-12
-37.9339 1.4515 7.5973e-12
-38.2676 3.7035 7.0020e-13
39.3937 6.6045 1.6595e-13
-24.9008 1.1075 1.4699e-11
-13.8617 2.7375 1.4512e-12
35.7435 1.5935 5.9995e-12
-0.7953 3.0695 1.1075e-12
-0.9795 6.4325 1.8251e-13
-50.6427 1.4165 8.2368e-12
-20.6607 3.0675 1.1205e-12
46.9929 2.4855 1.9527e-12
65.3320 1.4295 7.9777e-12
64.5414 2.1635 2.6970e-12
-28.2260 2.2465 2.5224e-12
30.4008 3.6205 7.7326e-13
-8.0866 2.4405 2.0621e-12
66.5176 4.9575 3.4553e-13
33.7339 1.2935 1.0188e-11
-42.6636 4.1985 5.1717e-13
84.5311 4.5775 4.1459e-13
-53.9103 3.1735 1.0648e-12
-31.5619 1.1705 1.3315e-11
9.3514 1.7585 4.7275e-12
17.2112 2.8215 1.3892e-12
47.0869 1.2135 1.2088e-11
-24.5069 1.3675 8.8381e-12
-27.9796 1.3305 9.1539e-12
-45.9845 7.1935 1.3869e-13
-52.3620 4.9125 3.5464e-13
61.2580 4.4065 4.6080e-13
29.1188 1.6855 5.1577e-12
33.6306 2.9845 1.1612e-12
10.3439 3.6415 7.6838e-13
-27.4913 2.2405 2.4852e-12
69.4726 2.7225 1.5086e-12
40.4124 1.9805 3.5410e-12
6.4938 2.4605 2.0368e-12
-35.8994 2.1495 2.7508e-12
35.9612 3.5615 8.0445e-13
-6.5667 1.5135 6.6671e-12
-40.5339 3.2085 1.0318e-12
-63.4949 2.0475 3.0892e-12
9.6880 3.3745 8.7762e-13
23.3291 4.8705 3.5756e-13
-5.9360 3.3915 9.4453e-13
64.7024 0.9535 2.2141e-11
-17.1335 5.2225 3.1553e-13
-1.0039 0.8465 2.9627e-11
-15.2623 4.0905 5.6253e-13
-36.4741 2.5785 1.6934e-12
45.4822 1.2295 1.1864e-11
-15.5711 3.4165 9.1926e-13
-36.5027 1.3855 8.2166e-12
-29.7128 2.1555 2.7660e-12
-16.9790 3.5905 7.9848e-13
-54.2851 2.2665 2.4492e-12
-0.3615 3.3925 8.7159e-13
74.4048 1.2445 1.0988e-11
-25.0508 1.1295 1.4071e-11
-79.7350 2.2735 2.3944e-12
-21.1022 4.4485 4.3632e-13
51.6349 3.2615 9.9354e-13
36.6485 4.1435 5.3017e-13
20.6031 2.2355 2.4785e-12
16.8025 1.3735 9.1204e-12
36.9576 3.0195 1.1801e-12
11.2967 3.4585 8.3571e-13
-6.2781 3.1295 1.0882e-12
-29.0566 3.7595 7.0141e-13
-25.2466 0.5515 9.0463e-11
45.7672 3.2995 9.8150e-13
-41.4459 2.2865 2.3036e-12
50.5052 3.5395 8.0984e-13
11.0128 3.9855 6.0073e-13
-37.0102 0.3935 1.9778e-10
42.8390 3.7665 6.8685e-13
12.1783 4.1755 5.4167e-13
23.0215 4.8365 3.6864e-13
23.4651 3.9015 6.5120e-13
33.7497 4.0375 6.0519e-13
59.4187 2.4295 1.9516e-12
-32.9022 1.8325 4.2413e-12
16.0501 3.8335 6.3395e-13
70.1276 3.7095 7.1951e-13
21.1875 2.9535 1.1840e-12
58.1449 4.1155 5.3343e-13
-33.4001 1.7935 4.4472e-12
36.3025 2.6915 1.5668e-12
38.5993 5.1575 3.1124e-13
15.3372 3.9785 5.7966e-13
-21.1130 0.5635 7.8626e-11
-31.9461 1.5915 6.0679e-12
20.6396 2.4075 2.1961e-12
43.7920 1.5475 6.3275e-12
8.8207 0.8725 2.6339e-11
-6.3957 5.8085 2.4271e-13
60.1970 4.2495 5.2373e-13
-40.8092 1.8265 4.2162e-12
-2.2325 1.8775 4.0321e-12
-1.1101 2.3005 2.3375e-12
16.6154 2.2795 2.3369e-12
-56.9214 4.6375 4.2764e-13
-23.3663 2.2555 2.4691e-12
-11.5345 3.5155 8.0965e-13
-65.4442 4.2805 5.0996e-13
22.3157 2.0905 3.1050e-12
-22.6759 2.3165 2.3130e-12
-66.9541 3.5375 8.2058e-13
34.6711 0.8225 3.2800e-11
24.2123 1.9245 3.7735e-12
-70.9633 6.5345 1.7570e-13
-37.6696 1.8555 4.1258e-12
-0.6510 3.5185 8.0972e-13
46.8112 5.2475 2.9523e-13
76.7682 2.5775 1.7504e-12
-26.6194 2.1915 2.5616e-12
-37.1028 1.1845 1.2679e-11
6.8278 4.0065 6.0050e-13
-39.3034 3.3215 8.9643e-13
-58.3119 3.7795 6.7821e-13
42.5674 3.7455 6.7050e-13
51.8017 4.3815 4.5574e-13
20.5665 2.1125 2.9080e-12
-15.8154 2.8095 1.4052e-12
-22.9557 2.0875 3.0417e-12
56.7290 4.7115 3.9934e-13
-37.0913 3.3685 8.7073e-13
58.3851 3.5305 7.9039e-13
-32.5349 1.8245 4.1189e-12
-71.3812 3.7635 6.8461e-13
52.5101 4.8835 3.8330e-13
32.3646 2.2365 2.5355e-12
