# lowEnergyEdge exposure
1.000000000000000000e+02 2.140518401533855940e+05
1.584893192461114211e+02 1.537934964045265457e+06
2.511886431509579722e+02 6.226468509088910185e+06
3.981071705534973262e+02 1.885124789414018765e+07
6.309573444801930009e+02 4.896156315581233799e+07
1.000000000000000000e+03 1.176756752403571606e+08
1.584893192461114040e+03 2.663912062283236086e+08
2.511886431509582053e+03 5.508053333311843872e+08
3.981071705534973262e+03 1.101797440803487301e+09
6.309573444801930236e+03 1.949369195145759821e+09
1.000000000000000000e+04 3.441301269265403271e+09
1.584893192461114086e+04 5.671884414924443245e+09
2.511886431509582326e+04 8.516095184506786346e+09
3.981071705534969078e+04 1.215027438414540482e+10
6.309573444801942969e+04 1.695474726756106186e+10
1.000000000000000000e+05 2.223934761055610275e+10
1.584893192461114086e+05 2.711992605254899597e+10
2.511886431509582035e+05 3.165723581138532257e+10
3.981071705534969224e+05 3.326468621461507797e+10
6.309573444801942678e+05 3.061541324986927414e+10
1.000000000000000000e+06 2.760162578209289169e+10
1.584893192461114144e+06 2.369634108186859894e+10
2.511886431509582326e+06 1.850548805763357544e+10
3.981071705534977373e+06 1.268946078261724663e+10
6.309573444801942445e+06 8.499841144952566147e+09
1.000000000000000000e+07 6.092373113994486809e+09
1.584893192461114191e+07 2.582337799934744835e+09
2.511886431509582326e+07 1.309201942459285736e+09
3.981071705534977466e+07 4.741424019745374918e+08
6.309573444801943004e+07 1.452285053061095178e+08
1.000000000000000000e+08 1.452285053061095178e+08
