# lowEnergyEdge exposure
1.000000000000000000e+02 1.790458387444820837e+05
1.584893192461114211e+02 1.375091332589650061e+06
2.511886431509579722e+02 5.720633452102811076e+06
3.981071705534973262e+02 1.761468110084780306e+07
6.309573444801930009e+02 4.757248841051666439e+07
1.000000000000000000e+03 1.176594008972366899e+08
1.584893192461114040e+03 2.628156197689895630e+08
2.511886431509582053e+03 5.694662617295871973e+08
3.981071705534973262e+03 1.138875216231287956e+09
6.309573444801930236e+03 2.147740800732095718e+09
1.000000000000000000e+04 3.839306517814041615e+09
1.584893192461114086e+04 6.447820527865778923e+09
2.511886431509582326e+04 1.030026592530530167e+10
3.981071705534969078e+04 1.569187018621173286e+10
6.309573444801942969e+04 2.268826274692238998e+10
1.000000000000000000e+05 3.300286831914447784e+10
1.584893192461114086e+05 4.329018728800169373e+10
2.511886431509582035e+05 5.528714440000253296e+10
3.981071705534969224e+05 6.747849240788196564e+10
6.309573444801942678e+05 8.579793442071954346e+10
1.000000000000000000e+06 9.471043335984848022e+10
1.584893192461114144e+06 1.099113489216897430e+11
2.511886431509582326e+06 1.038689402953014679e+11
3.981071705534977373e+06 1.114160393586188049e+11
6.309573444801942445e+06 1.080544323128652344e+11
1.000000000000000000e+07 7.285101117486238098e+10
1.584893192461114191e+07 8.376585057447232056e+10
2.511886431509582326e+07 4.530915849223945618e+10
3.981071705534977466e+07 5.052532541116834259e+10
6.309573444801943004e+07 2.223752148843506622e+10
1.000000000000000000e+08 2.223752148843506622e+10
