# lowEnergyEdge exposure
1.000000000000000000e+02 3.242448164564881008e+05
1.584893192461114211e+02 1.723097634913036600e+06
2.511886431509579722e+02 6.271827929274029098e+06
3.981071705534973262e+02 1.784799282062726095e+07
6.309573444801930009e+02 4.625411328362028301e+07
1.000000000000000000e+03 1.096845302457707822e+08
1.584893192461114040e+03 2.412264734245553017e+08
2.511886431509582053e+03 4.951857118346883655e+08
3.981071705534973262e+03 9.415878743777654171e+08
6.309573444801930236e+03 1.698157498523898125e+09
1.000000000000000000e+04 2.697882310117527008e+09
1.584893192461114086e+04 4.108977113478928566e+09
2.511886431509582326e+04 5.745979330383702278e+09
3.981071705534969078e+04 7.508877155999544144e+09
6.309573444801942969e+04 8.419539996111057281e+09
1.000000000000000000e+05 9.424902699739345551e+09
1.584893192461114086e+05 8.832426490013179779e+09
2.511886431509582035e+05 7.704947195778286934e+09
3.981071705534969224e+05 5.927331640700992584e+09
6.309573444801942678e+05 4.352895188120564461e+09
1.000000000000000000e+06 2.278581757209558964e+09
1.584893192461114144e+06 1.323827580837538719e+09
2.511886431509582326e+06 7.843696539568101168e+08
3.981071705534977373e+06 3.534099667601218820e+08
6.309573444801942445e+06 2.721621731679390073e+08
1.000000000000000000e+07 7.376895622937642038e+07
1.584893192461114191e+07 8.199255630670170486e+07
2.511886431509582326e+07 4.625936357869905978e+07
3.981071705534977466e+07 5.047938290595711768e+07
6.309573444801943004e+07 7.147752579060385004e+06
1.000000000000000000e+08 7.147752579060385004e+06
