# lowEnergyEdge exposure
1.000000000000000000e+02 0.000000000000000000e+00
1.584893192461114211e+02 0.000000000000000000e+00
2.511886431509579722e+02 0.000000000000000000e+00
3.981071705534973262e+02 0.000000000000000000e+00
6.309573444801930009e+02 0.000000000000000000e+00
1.000000000000000000e+03 0.000000000000000000e+00
1.584893192461114040e+03 0.000000000000000000e+00
2.511886431509582053e+03 0.000000000000000000e+00
3.981071705534973262e+03 0.000000000000000000e+00
6.309573444801930236e+03 1.771188376038527349e+05
1.000000000000000000e+04 0.000000000000000000e+00
1.584893192461114086e+04 1.004944121192317922e+06
2.511886431509582326e+04 9.827308528971631080e+06
3.981071705534969078e+04 1.556927819438901171e+07
6.309573444801942969e+04 8.132941598670148849e+07
1.000000000000000000e+05 5.406142341992781162e+08
1.584893192461114086e+05 1.848660759043745518e+09
2.511886431509582035e+05 6.266821756171981812e+09
3.981071705534969224e+05 1.330291398350046539e+10
6.309573444801942678e+05 2.227105630455594635e+10
1.000000000000000000e+06 3.431701209185832214e+10
1.584893192461114144e+06 4.252284936124340820e+10
2.511886431509582326e+06 5.572255451706736755e+10
3.981071705534977373e+06 6.306761070953146362e+10
6.309573444801942445e+06 7.109356580180574036e+10
1.000000000000000000e+07 7.591407330726905823e+10
1.584893192461114191e+07 6.371370291280645752e+10
2.511886431509582326e+07 9.033791222801681519e+10
3.981071705534977466e+07 4.885807943056138611e+10
6.309573444801943004e+07 5.658438493663692474e+10
1.000000000000000000e+08 5.658438493663692474e+10
