# lowEnergyEdge exposure
1.000000000000000000e+02 1.688838897036058479e+05
1.584893192461114211e+02 1.320858454767022282e+06
2.511886431509579722e+02 5.511933802436731756e+06
3.981071705534973262e+02 1.705639129126588255e+07
6.309573444801930009e+02 4.645049497832446545e+07
1.000000000000000000e+03 1.144040964043960571e+08
1.584893192461114040e+03 2.652518980504151881e+08
2.511886431509582053e+03 5.612880908778697252e+08
3.981071705534973262e+03 1.128722514653755665e+09
6.309573444801930236e+03 2.191929403940465450e+09
1.000000000000000000e+04 3.840929708308533669e+09
1.584893192461114086e+04 6.438521218561735153e+09
2.511886431509582326e+04 1.033078654212800217e+10
3.981071705534969078e+04 1.634508000513670349e+10
6.309573444801942969e+04 2.366294070202973175e+10
1.000000000000000000e+05 3.282697735043343735e+10
1.584893192461114086e+05 4.563065068342150116e+10
2.511886431509582035e+05 6.092674890270324707e+10
3.981071705534969224e+05 7.646498322310475159e+10
6.309573444801942678e+05 9.474622739169430542e+10
1.000000000000000000e+06 1.043944246995014648e+11
1.584893192461114144e+06 1.291917809421778412e+11
2.511886431509582326e+06 1.343429829486756287e+11
3.981071705534977373e+06 1.361484313051493225e+11
6.309573444801942445e+06 1.365167951919852905e+11
1.000000000000000000e+07 1.203383141118059387e+11
1.584893192461114191e+07 1.297212349276851959e+11
2.511886431509582326e+07 9.298926038796391296e+10
3.981071705534977466e+07 6.121757353786888123e+10
6.309573444801943004e+07 4.142684178030801392e+10
1.000000000000000000e+08 4.142684178030801392e+10
