# lowEnergyEdge exposure
1.000000000000000000e+02 3.598882496442765387e+03
1.584893192461114211e+02 7.327733089017584280e+04
2.511886431509579722e+02 4.785015165148056112e+05
3.981071705534973262e+02 1.785172454754105769e+06
6.309573444801930009e+02 5.698866650611162186e+06
1.000000000000000000e+03 1.536441805557675660e+07
1.584893192461114040e+03 3.953539084902673215e+07
2.511886431509582053e+03 9.381687015129667521e+07
3.981071705534973262e+03 2.127006913979846835e+08
6.309573444801930236e+03 4.750100133180813193e+08
1.000000000000000000e+04 9.664218324873435497e+08
1.584893192461114086e+04 1.941497756619644165e+09
2.511886431509582326e+04 3.369679843841798306e+09
3.981071705534969078e+04 5.768574690458995819e+09
6.309573444801942969e+04 9.356763986995405197e+09
1.000000000000000000e+05 1.511018454885525513e+10
1.584893192461114086e+05 2.358618890188635635e+10
2.511886431509582035e+05 3.525381171770932007e+10
3.981071705534969224e+05 4.895309270408650970e+10
6.309573444801942678e+05 7.034675202689932251e+10
1.000000000000000000e+06 9.389473182988331604e+10
1.584893192461114144e+06 1.235321713984201050e+11
2.511886431509582326e+06 1.727203974680728455e+11
3.981071705534977373e+06 2.435731446379818115e+11
6.309573444801942445e+06 3.107438457811368408e+11
1.000000000000000000e+07 3.477976080579651489e+11
1.584893192461114191e+07 4.692074183787047729e+11
2.511886431509582326e+07 6.350461233691972656e+11
3.981071705534977466e+07 7.568729682162862549e+11
6.309573444801943004e+07 1.012328894300975586e+12
1.000000000000000000e+08 1.012328894300975586e+12
