# lowEnergyEdge exposure
1.000000000000000000e+02 2.646029241920221830e+05
1.584893192461114211e+02 1.732071130587455351e+06
2.511886431509579722e+02 6.650730206059681252e+06
3.981071705534973262e+02 1.982479646029539406e+07
6.309573444801930009e+02 5.138191978493383527e+07
1.000000000000000000e+03 1.211811755100903362e+08
1.584893192461114040e+03 2.701085756766147614e+08
2.511886431509582053e+03 5.431834865248718262e+08
3.981071705534973262e+03 1.041673607713354230e+09
6.309573444801930236e+03 1.878837623044684410e+09
1.000000000000000000e+04 3.107034810725767136e+09
1.584893192461114086e+04 4.851392810606794357e+09
2.511886431509582326e+04 7.229670671365974426e+09
3.981071705534969078e+04 9.683014413686716080e+09
6.309573444801942969e+04 1.242213635767198563e+10
1.000000000000000000e+05 1.464332983199411392e+10
1.584893192461114086e+05 1.563771767857170486e+10
2.511886431509582035e+05 1.557593934844935036e+10
3.981071705534969224e+05 1.431253167560142899e+10
6.309573444801942678e+05 1.150497328166656303e+10
1.000000000000000000e+06 8.823684619011209488e+09
1.584893192461114144e+06 6.469231442486234665e+09
2.511886431509582326e+06 3.401842861531864643e+09
3.981071705534977373e+06 1.829817733823516607e+09
6.309573444801942445e+06 1.299187573064639807e+09
1.000000000000000000e+07 4.876134821437364817e+08
1.584893192461114191e+07 1.920324065791172981e+08
2.511886431509582326e+07 1.119780962925659120e+08
3.981071705534977466e+07 6.363154275434905291e+07
6.309573444801943004e+07 5.123694837025457621e+07
1.000000000000000000e+08 5.123694837025457621e+07
