# lowEnergyEdge exposure
1.000000000000000000e+02 0.000000000000000000e+00
1.584893192461114211e+02 0.000000000000000000e+00
2.511886431509579722e+02 0.000000000000000000e+00
3.981071705534973262e+02 0.000000000000000000e+00
6.309573444801930009e+02 0.000000000000000000e+00
1.000000000000000000e+03 0.000000000000000000e+00
1.584893192461114040e+03 0.000000000000000000e+00
2.511886431509582053e+03 0.000000000000000000e+00
3.981071705534973262e+03 0.000000000000000000e+00
6.309573444801930236e+03 0.000000000000000000e+00
1.000000000000000000e+04 0.000000000000000000e+00
1.584893192461114086e+04 0.000000000000000000e+00
2.511886431509582326e+04 3.134347438950609416e+06
3.981071705534969078e+04 1.554033857494586520e+07
6.309573444801942969e+04 4.949541375181347132e+07
1.000000000000000000e+05 4.543114309636482000e+08
1.584893192461114086e+05 1.688428150302280664e+09
2.511886431509582035e+05 5.309472653483591080e+09
3.981071705534969224e+05 9.953070407022722244e+09
6.309573444801942678e+05 1.542955974130944824e+10
1.000000000000000000e+06 2.213877497848583603e+10
1.584893192461114144e+06 2.632459186109126282e+10
2.511886431509582326e+06 2.797826577557642365e+10
3.981071705534977373e+06 2.767640892640766144e+10
6.309573444801942445e+06 3.268677263329504395e+10
1.000000000000000000e+07 3.439519749839765167e+10
1.584893192461114191e+07 1.570679301140315247e+10
2.511886431509582326e+07 1.295344165952884674e+10
3.981071705534977466e+07 5.741798798251087189e+09
6.309573444801943004e+07 5.073271903940131187e+09
1.000000000000000000e+08 5.073271903940131187e+09
