# lowEnergyEdge exposure
1.000000000000000000e+02 1.283040690101707587e+05
1.584893192461114211e+02 1.127041292094837176e+06
2.511886431509579722e+02 4.881973154536956921e+06
3.981071705534973262e+02 1.528258618402433582e+07
6.309573444801930009e+02 4.194403449635016918e+07
1.000000000000000000e+03 1.056155300752474666e+08
1.584893192461114040e+03 2.425658142999545336e+08
2.511886431509582053e+03 5.370772155923314095e+08
3.981071705534973262e+03 1.084457507451349258e+09
6.309573444801930236e+03 2.089706266384439468e+09
1.000000000000000000e+04 3.865847332393297672e+09
1.584893192461114086e+04 6.609167561384001732e+09
2.511886431509582326e+04 1.078790993305294609e+10
3.981071705534969078e+04 1.696741128834276962e+10
6.309573444801942969e+04 2.560503795150575638e+10
1.000000000000000000e+05 3.755833589445903015e+10
1.584893192461114086e+05 5.215587775366101837e+10
2.511886431509582035e+05 6.945852422276260376e+10
3.981071705534969224e+05 9.478447247036714172e+10
6.309573444801942678e+05 1.182618389491340637e+11
1.000000000000000000e+06 1.460383140136829224e+11
1.584893192461114144e+06 1.812309863154336548e+11
2.511886431509582326e+06 2.156654893352629089e+11
3.981071705534977373e+06 2.478230769856529236e+11
6.309573444801942445e+06 2.862564917981936035e+11
1.000000000000000000e+07 3.403288471347607422e+11
1.584893192461114191e+07 2.622535401360421753e+11
2.511886431509582326e+07 2.981307503023289185e+11
3.981071705534977466e+07 3.049365754816620483e+11
6.309573444801943004e+07 2.450287447703268433e+11
1.000000000000000000e+08 2.450287447703268433e+11
