# lowEnergyEdge exposure
1.000000000000000000e+02 1.878013156169024878e+05
1.584893192461114211e+02 1.416584365873532835e+06
2.511886431509579722e+02 5.883099829031715170e+06
3.981071705534973262e+02 1.811898460923060402e+07
6.309573444801930009e+02 4.807279180546732992e+07
1.000000000000000000e+03 1.205024102290388346e+08
1.584893192461114040e+03 2.709625406373218894e+08
2.511886431509582053e+03 5.675420483818237782e+08
3.981071705534973262e+03 1.131047129945272207e+09
6.309573444801930236e+03 2.180883014409130096e+09
1.000000000000000000e+04 3.783947603269813061e+09
1.584893192461114086e+04 6.112091900006534576e+09
2.511886431509582326e+04 9.992127238902988434e+09
3.981071705534969078e+04 1.508679057513443756e+10
6.309573444801942969e+04 2.219483468239927673e+10
1.000000000000000000e+05 2.966394298618425751e+10
1.584893192461114086e+05 4.151322008293022156e+10
2.511886431509582035e+05 5.292173103534658813e+10
3.981071705534969224e+05 6.556564524762496185e+10
6.309573444801942678e+05 7.483710354477316284e+10
1.000000000000000000e+06 8.469992392224002075e+10
1.584893192461114144e+06 8.707545817400791931e+10
2.511886431509582326e+06 8.870079866968060303e+10
3.981071705534977373e+06 8.111239070035388184e+10
6.309573444801942445e+06 7.661235798544137573e+10
1.000000000000000000e+07 8.678448314618797302e+10
1.584893192461114191e+07 6.055716883147453308e+10
2.511886431509582326e+07 3.787058944372831726e+10
3.981071705534977466e+07 1.689377956052470207e+10
6.309573444801943004e+07 1.764071556629491425e+10
1.000000000000000000e+08 1.764071556629491425e+10
